subj,date,beeps,activity,gm,gmd_by,sitco,partner
ID1,1/1/2015,12,M,NA,NA,NA,NA
ID1,1/1/2015,2,ssitco,NA,NA,ID20,ID20
ID1,1/1/2015,1,gmd/sitco,NA,ID17,ID20,"ID17, ID20"
ID1,1/1/2015,3,gmd/sitco,NA,ID17,ID20,"ID17, ID20"
ID1,1/1/2015,2,gmd/sitco,NA,"ID17, ID14",ID20,"ID17, ID14, ID20"
ID1,1/1/2015,3,gmd/sitco,NA,ID14,ID20,"ID14, ID20"
ID1,1/1/2015,4,gmd/ssitco,NA,ID14,ID20,"ID14, ID20"
ID1,1/1/2015,3,sitco,NA,NA,ID20,ID20
ID2,1/1/2015,13,R,NA,NA,NA,NA
ID2,1/1/2015,3,gmd,NA,ID8,NA,ID8
ID2,1/1/2015,4,gm,ID8,NA,NA,ID8
ID2,1/1/2015,1,F,NA,NA,NA,NA
ID2,1/1/2015,2,M,NA,NA,NA,NA
ID2,1/1/2015,3,F,NA,NA,NA,NA
ID2,1/1/2015,4,F,NA,NA,NA,NA
ID3,1/1/2015,8,R,NA,NA,NA,NA
ID3,1/1/2015,8,F,NA,NA,NA,NA
ID3,1/1/2015,13,M,NA,NA,NA,NA
ID3,1/1/2015,1,F,NA,NA,NA,NA
ID4,1/2/2015,30,R,NA,NA,NA,NA
ID5,1/2/2015,30,R,NA,NA,NA,NA
ID2,1/2/2015,10,R,NA,NA,NA,NA
ID2,1/2/2015,2,M,NA,NA,NA,NA
ID2,1/2/2015,8,gm,ID5,NA,NA,ID5
ID2,1/2/2015,4,gmd,NA,ID5,NA,ID5
ID2,1/2/2015,6,R,NA,NA,NA,NA
ID6,1/2/2015,2,R,NA,NA,NA,NA
ID6,1/2/2015,4,gm,ID20,NA,NA,ID20
ID6,1/2/2015,8,M,NA,NA,NA,NA
ID6,1/2/2015,9,R,NA,NA,NA,NA
ID6,1/2/2015,7,F,NA,NA,NA,NA
ID7,1/2/2015,11,R,NA,NA,NA,NA
ID7,1/2/2015,7,M,NA,NA,NA,NA
ID7,1/2/2015,9,F,NA,NA,NA,NA
ID7,1/2/2015,3,F,NA,NA,NA,NA
ID8,1/3/2015,11,R,NA,NA,NA,NA
ID8,1/3/2015,1,R,NA,NA,NA,NA
ID8,1/3/2015,11,M,NA,NA,NA,NA
ID8,1/3/2015,3,F,NA,NA,NA,NA
ID8,1/3/2015,4,F,NA,NA,NA,NA
ID3,1/3/2015,20,R,NA,NA,NA,NA
ID3,1/3/2015,2,gm,ID21,NA,NA,ID21
ID3,1/3/2015,1,M,NA,NA,NA,NA
ID3,1/3/2015,2,R,NA,NA,NA,NA
ID3,1/3/2015,2,F,NA,NA,NA,NA
ID3,1/3/2015,3,F,NA,NA,NA,NA
ID9,1/3/2015,25,R,NA,NA,NA,NA
ID9,1/3/2015,1,R,NA,NA,NA,NA
ID9,1/3/2015,2,F,NA,NA,NA,NA
ID9,1/3/2015,2,M,NA,NA,NA,NA
ID10,1/3/2015,30,R,NA,NA,NA,NA
ID11,1/3/2015,9,F,NA,NA,NA,NA
ID11,1/3/2015,3,R,NA,NA,NA,NA
ID11,1/3/2015,3,F,NA,NA,NA,NA
ID11,1/3/2015,8,M,NA,NA,NA,NA
ID11,1/3/2015,3,F,NA,NA,NA,NA
ID11,1/3/2015,4,F,NA,NA,NA,NA
ID5,1/3/2015,2,F,NA,NA,NA,NA
ID5,1/3/2015,6,R,NA,NA,NA,NA
ID5,1/3/2015,3,F,NA,NA,NA,NA
ID5,1/3/2015,5,M,NA,NA,NA,NA
ID5,1/3/2015,2,F,NA,NA,NA,NA
ID5,1/3/2015,2,F,NA,NA,NA,NA
ID5,1/3/2015,4,F,NA,NA,NA,NA
ID5,1/3/2015,6,F,NA,NA,NA,NA
ID2,1/3/2015,1,F,NA,NA,NA,NA
ID2,1/3/2015,17,R,NA,NA,NA,NA
ID2,1/3/2015,6,M,NA,NA,NA,NA
ID2,1/3/2015,2,gmd,NA,ID8,NA,ID8
ID2,1/3/2015,2,gm,ID8,NA,NA,ID8
ID2,1/3/2015,1,gm,ID8,NA,NA,ID8
ID2,1/3/2015,1,gmd,NA,ID8,NA,ID8
ID12,1/3/2015,8,R,NA,NA,NA,NA
ID12,1/3/2015,17,R,NA,NA,NA,NA
ID12,1/3/2015,3,gm,ID22,NA,NA,ID22
ID12,1/3/2015,2,R,NA,NA,NA,NA
ID1,1/4/2015,24,F/sitco,NA,NA,ID20,ID20
ID1,1/4/2015,2,M,NA,NA,NA,NA
ID1,1/4/2015,3,F/sitco,NA,NA,ID20,ID20
ID1,1/4/2015,1,sitco,NA,NA,ID20,ID20
ID13,1/4/2015,1,F,NA,NA,NA,NA
ID13,1/4/2015,9,R,NA,NA,NA,NA
ID13,1/4/2015,7,M,NA,NA,NA,NA
ID13,1/4/2015,3,F,NA,NA,NA,NA
ID13,1/4/2015,2,sitco,NA,NA,ID1,ID1
ID13,1/4/2015,1,sitco,NA,NA,ID20,ID20
ID13,1/4/2015,2,F,NA,NA,NA,NA
ID13,1/4/2015,2,F,NA,NA,NA,NA
ID13,1/4/2015,3,F,NA,NA,NA,NA
ID14,1/4/2015,3,gm,ID23,NA,NA,ID23
ID14,1/4/2015,3,gm/sitco,ID24,NA,ID23,"ID24, ID23"
ID14,1/4/2015,2,gm,ID24,NA,NA,ID24
ID14,1/4/2015,1,M,NA,NA,NA,NA
ID14,1/4/2015,3,gm,ID3,NA,NA,ID3
ID14,1/4/2015,1,sitco,NA,NA,ID3,ID3
ID14,1/4/2015,2,gmd,NA,ID3,NA,ID3
ID14,1/4/2015,3,gm,ID25,NA,NA,ID25
ID14,1/4/2015,2,gmd,NA,ID25,NA,ID25
ID14,1/4/2015,4,gmd/sitco,NA,ID25,ID23,"ID25, ID23"
ID14,1/4/2015,2,sitco,NA,NA,"ID23, ID25","ID23, ID25"
ID14,1/4/2015,1,gm/gmd,ID23,ID25,NA,"ID23, ID25"
ID14,1/4/2015,2,gm/sitco,ID25,NA,ID23,"ID25, ID23"
ID14,1/4/2015,1,gmd,NA,ID25,NA,ID25
ID10,1/4/2015,1,F,NA,NA,NA,NA
ID10,1/4/2015,29,R,NA,NA,NA,NA
ID15,1/4/2015,5,gm,ID19,NA,NA,ID19
ID15,1/4/2015,1,R,NA,NA,NA,NA
ID15,1/4/2015,5,M,NA,NA,NA,NA
ID15,1/4/2015,17,R,NA,NA,NA,NA
ID15,1/4/2015,1,F,NA,NA,NA,NA
ID15,1/4/2015,1,F,NA,NA,NA,NA
ID6,1/4/2015,9,R,NA,NA,NA,NA
ID6,1/4/2015,2,ssitco,NA,NA,ID20,ID20
ID6,1/4/2015,2,gmd/ssitco,NA,ID8,ID20,"ID8, ID20"
ID6,1/4/2015,4,gm,ID8,NA,NA,ID8
ID6,1/4/2015,2,gmd,NA,ID8,NA,ID8
ID6,1/4/2015,2,sitco,NA,NA,ID8,ID8
ID6,1/4/2015,4,M,NA,NA,NA,NA
ID6,1/4/2015,2,F,NA,NA,NA,NA
ID6,1/4/2015,2,F,NA,NA,NA,NA
ID6,1/4/2015,1,F,NA,NA,NA,NA
ID11,1/4/2015,16,R,NA,NA,NA,NA
ID11,1/4/2015,2,F,NA,NA,NA,NA
ID11,1/4/2015,2,F,NA,NA,NA,NA
ID11,1/4/2015,1,F,NA,NA,NA,NA
ID11,1/4/2015,6,M,NA,NA,NA,NA
ID11,1/4/2015,1,F,NA,NA,NA,NA
ID11,1/4/2015,2,F,NA,NA,NA,NA
ID12,1/4/2015,7,M,NA,NA,NA,NA
ID12,1/4/2015,14,R,NA,NA,NA,NA
ID12,1/4/2015,1,R,NA,NA,NA,NA
ID12,1/4/2015,1,F,NA,NA,NA,NA
ID12,1/4/2015,2,F,NA,NA,NA,NA
ID12,1/4/2015,5,F,NA,NA,NA,NA
ID9,1/4/2015,8,R,NA,NA,NA,NA
ID9,1/4/2015,5,gm,ID26,NA,NA,ID26
ID9,1/4/2015,4,M,NA,NA,NA,NA
ID9,1/4/2015,1,F,NA,NA,NA,NA
ID9,1/4/2015,2,F,NA,NA,NA,NA
ID9,1/4/2015,5,F,NA,NA,NA,NA
ID9,1/4/2015,3,F,NA,NA,NA,NA
ID9,1/4/2015,2,F,NA,NA,NA,NA
ID8,1/4/2015,4,M,NA,NA,NA,NA
ID8,1/4/2015,14,R,NA,NA,NA,NA
ID8,1/4/2015,2,ssitco,NA,NA,ID27,ID27
ID8,1/4/2015,6,sitco,NA,NA,ID27,ID27
ID8,1/4/2015,2,R,NA,NA,NA,NA
ID8,1/4/2015,2,F,NA,NA,NA,NA
ID15,1/5/2015,7,M,NA,NA,NA,NA
ID15,1/5/2015,1,R,NA,NA,NA,NA
ID15,1/5/2015,1,F,NA,NA,NA,NA
ID15,1/5/2015,1,F,NA,NA,NA,NA
ID15,1/5/2015,10,F,NA,NA,NA,NA
ID15,1/5/2015,9,F,NA,NA,NA,NA
ID15,1/5/2015,1,F,NA,NA,NA,NA
ID7,1/5/2015,7,F,NA,NA,NA,NA
ID7,1/5/2015,9,M,NA,NA,NA,NA
ID7,1/5/2015,4,F,NA,NA,NA,NA
ID7,1/5/2015,5,F,NA,NA,NA,NA
ID7,1/5/2015,1,F,NA,NA,NA,NA
ID7,1/5/2015,2,F,NA,NA,NA,NA
ID7,1/5/2015,2,R,NA,NA,NA,NA
ID4,1/5/2015,16,R,NA,NA,NA,NA
ID4,1/5/2015,1,R,NA,NA,NA,NA
ID4,1/5/2015,4,gm,ID2,NA,NA,ID2
ID4,1/5/2015,1,gmd,NA,ID2,NA,ID2
ID4,1/5/2015,1,gm,ID2,NA,NA,ID2
ID4,1/5/2015,1,gmd,NA,ID2,NA,ID2
ID4,1/5/2015,1,R,NA,NA,NA,NA
ID4,1/5/2015,2,gmd,NA,ID10,NA,ID10
ID4,1/5/2015,1,gmd,NA,ID10,NA,ID10
ID4,1/5/2015,1,M,NA,NA,NA,NA
ID4,1/5/2015,1,F,NA,NA,NA,NA
ID9,1/5/2015,3,F,NA,NA,NA,NA
ID9,1/5/2015,1,F,NA,NA,NA,NA
ID9,1/5/2015,1,F,NA,NA,NA,NA
ID9,1/5/2015,1,F,NA,NA,NA,NA
ID9,1/5/2015,3,F,NA,NA,NA,NA
ID9,1/5/2015,6,F,NA,NA,NA,NA
ID9,1/5/2015,10,M,NA,NA,NA,NA
ID9,1/5/2015,2,F,NA,NA,NA,NA
ID9,1/5/2015,1,R,NA,NA,NA,NA
ID9,1/5/2015,2,F,NA,NA,NA,NA
ID16,1/5/2015,4,F,NA,NA,NA,NA
ID16,1/5/2015,1,M,NA,NA,NA,NA
ID16,1/5/2015,2,F,NA,NA,NA,NA
ID16,1/5/2015,2,F,NA,NA,NA,NA
ID16,1/5/2015,1,F,NA,NA,NA,NA
ID16,1/5/2015,3,R,NA,NA,NA,NA
ID16,1/5/2015,3,F,NA,NA,NA,NA
ID16,1/5/2015,1,F/sitco,NA,NA,ID28,ID28
ID16,1/5/2015,1,F/sitco,NA,NA,ID28,ID28
